N,P,K,temperature,humidity,ph,rainfall,label
109.66,26.49,80.25,25.15,60.65,5.84,48.4,orange
101.68,34.91,79.82,25.85,88.15,6.12,172.42,apple
-42.8,76.6,113.95,25.75,109.01,6.68,113.71,kidneybeans
12.19,56.01,18.09,21.02,33.67,6.34,100.68,grapes
43.83,49.05,105.42,26.51,34.51,5.26,229.74,banana
78.69,92.62,66.92,28.47,75.36,6.46,149.61,watermelon
86.22,79.34,-23.89,24.37,73.88,6.24,96.19,maize
82.97,138.33,-4.5,29.57,97.19,7.72,35.78,chickpea
58.04,96.5,61.74,33.5,83.38,7.0,167.42,orange
102.27,24.85,-24.32,27.78,65.05,6.51,102.99,banana
31.0,50.94,71.86,21.48,53.41,6.31,133.31,blackgram
53.67,68.08,74.53,32.87,100.74,5.93,125.03,orange
36.77,-4.34,16.0,26.53,65.68,6.48,145.13,chickpea
40.03,129.78,51.08,18.95,66.42,6.6,106.71,watermelon
-30.04,38.8,49.7,29.04,28.97,7.11,31.17,muskmelon
47.1,60.61,-7.9,25.13,16.41,6.72,120.46,mungbean
67.11,37.61,37.12,10.56,61.07,6.86,62.1,muskmelon
72.28,138.7,85.89,20.59,60.89,7.22,179.35,blackgram
37.87,49.84,117.15,22.45,112.91,5.19,68.09,jute
76.69,-1.54,71.09,34.16,81.54,5.56,33.07,papaya
7.76,24.72,15.44,23.64,116.85,6.92,210.05,mungbean
40.0,51.41,-12.32,35.31,58.93,6.54,154.11,chickpea
45.36,62.27,12.94,30.52,44.48,5.94,121.65,apple
67.36,74.26,-8.78,23.88,96.49,6.73,51.21,coconut
24.26,83.63,71.21,27.94,53.29,5.99,37.04,apple
48.46,33.8,69.74,26.84,89.71,5.92,120.82,banana
78.09,46.26,-7.09,29.5,82.35,7.64,147.69,jute
66.67,-13.58,11.3,31.39,74.26,6.48,113.25,pigeonpeas
35.27,86.25,52.05,31.95,147.44,6.76,74.0,mothbeans
77.33,55.72,49.95,29.46,97.23,5.36,30.97,muskmelon
-20.32,32.99,-2.01,22.58,79.73,6.28,252.4,chickpea
48.49,70.86,-58.57,30.48,67.31,6.06,73.65,papaya
57.96,-3.73,75.17,18.0,97.39,6.58,132.7,coffee
52.56,-5.85,22.99,26.44,74.52,6.04,71.96,coffee
37.19,20.37,34.03,26.12,46.97,6.38,166.42,pomegranate
81.15,28.78,43.6,26.96,29.2,5.6,148.73,muskmelon
46.14,68.04,85.31,24.25,52.35,6.02,57.64,muskmelon
48.04,134.15,97.1,34.31,65.63,6.38,148.66,mango
27.34,83.8,49.73,17.63,71.8,7.79,4.84,watermelon
105.96,50.23,76.76,15.51,74.91,6.55,158.66,mothbeans
32.02,94.95,38.64,23.71,97.37,7.13,138.92,pomegranate
6.01,123.46,106.08,28.52,45.91,6.34,54.43,chickpea
41.41,76.68,15.99,25.47,37.31,7.46,67.07,coconut
76.22,62.9,3.96,19.26,61.31,5.31,124.68,coconut
26.21,20.2,86.02,30.98,66.04,6.53,73.15,Paddy
37.64,59.58,74.25,22.26,67.98,6.26,73.9,lentil
